ID;idade;renda_ano;moradia;anos_trabalho_atual;dados_contato;anos_hist_credito
184;144;200000;FINANCIADA;4;0;2
82;144;250000;aluguel;4;0;3
32298;144;6000000;FINANCIADA;12;0;25
748;123;78000;aluguel;7;0;4
576;123;80004;aluguel;2;0;3
32417;94;24000;aluguel;1;0;27
32507;84;94800;FINANCIADA;2;0;24
32423;80;64000;aluguel;7;0;25
32356;78;48000;aluguel;41;0;25
32535;76;75000;aluguel;23;0;25
32522;73;39240;aluguel;0;0;21
32382;73;42000;FINANCIADA;7;0;28
32433;73;75000;aluguel;0;0;24
32335;70;30000;aluguel;0;1;21
32384;70;30000;aluguel;1;0;28
32361;70;39996;aluguel;;1;19
32437;70;42000;aluguel;1;0;24
32386;70;44000;FINANCIADA;3;0;24
32523;70;48000;aluguel;0;0;24
32533;70;132000;FINANCIADA;0;0;24
32401;69;24000;aluguel;3;0;20
32558;69;24000;aluguel;3;0;23
32365;69;37000;aluguel;6;1;27
32379;69;80000;aluguel;12;1;22
32528;69;120000;FINANCIADA;3;0;27
32543;67;200000;FINANCIADA;2;0;26
32362;66;38400;aluguel;14;0;19
32427;66;40000;aluguel;2;1;29
32424;66;42000;aluguel;2;0;24
32581;66;42000;aluguel;2;0;30
32318;66;43000;aluguel;17;1;23
32441;66;54000;aluguel;3;1;26
32310;66;60000;aluguel;4;1;28
32485;66;82000;FINANCIADA;8;0;20
32306;66;300000;FINANCIADA;3;0;23
32466;65;45900;aluguel;2;0;29
32553;65;45900;aluguel;2;1;19
32366;65;46000;aluguel;5;1;24
32359;65;57996;aluguel;4;0;27
32300;65;76000;aluguel;3;0;27
32579;65;76000;aluguel;3;0;28
32504;65;93000;FINANCIADA;27;0;27
32529;65;120000;FINANCIADA;0;0;21
32536;65;133000;FINANCIADA;2;0;25
32486;64;24000;aluguel;1;0;21
32378;64;46000;aluguel;2;1;24
32474;64;56000;aluguel;0;1;18
32494;64;87000;FINANCIADA;12;0;27
32327;64;105000;aluguel;8;0;30
32524;64;119000;FINANCIADA;3;0;22
32527;64;120000;FINANCIADA;0;0;25
32395;63;37000;aluguel;24;0;22
32515;63;106000;FINANCIADA;0;0;23
32498;63;1782000;aluguel;13;0;30
32503;62;16800;aluguel;0;0;24
32453;62;51600;aluguel;2;0;24
32436;62;60000;FINANCIADA;5;0;19
32481;62;62050;FINANCIADA;29;1;28
32405;62;66000;aluguel;2;0;23
32314;62;68375;aluguel;4;0;28
32326;62;76500;aluguel;0;1;29
32467;61;10636;aluguel;3;0;25
32323;61;51000;aluguel;2;0;21
32420;61;53000;FINANCIADA;3;0;23
32499;61;78000;FINANCIADA;1;1;27
32490;61;85000;FINANCIADA;11;0;22
32478;61;90000;aluguel;1;0;20
32540;61;148000;FINANCIADA;30;0;20
32307;61;160000;aluguel;3;1;27
32563;61;160000;FINANCIADA;30;0;21
32546;60;9600;aluguel;4;0;28
32351;60;29000;aluguel;0;1;27
32377;60;31500;aluguel;2;0;27
32385;60;37200;FINANCIADA;2;0;27
32319;60;45600;aluguel;1;0;20
32572;60;45600;aluguel;1;0;26
32404;60;49008;propria;5;1;30
32569;60;49008;propria;5;1;21
32439;60;60000;propria;5;0;27
32469;60;72000;propria;3;0;24
32495;60;88000;propria;8;1;18
32344;60;98000;aluguel;1;1;25
32555;60;98000;aluguel;1;0;29
32537;60;150000;FINANCIADA;1;0;18
32547;60;1900000;FINANCIADA;5;0;21
32372;59;40000;FINANCIADA;5;0;24
32458;59;42000;aluguel;14;0;19
32426;59;55000;FINANCIADA;15;0;29
32487;59;83768;FINANCIADA;15;0;18
32312;59;175000;aluguel;3;0;27
