ID;motivo_emp;valor_emp;tx_emp;emp_ativo
1;EDUCACAO;21000;10.0;0
2;Quitar outras dividas;4800;10.0;0
3;Quitar outras dividas;1000;10.0;1
4;EDUCACAO;16000;10.0;1
5;Reforma da Casa;16000;10.0;0
6;PESSOAL;1325;10.0;1
7;EDUCACAO;1400;10.0;1
8;MEDICO;1500;10.0;0
9;PESSOAL;1500;10.0;0
10;EDUCACAO;2000;10.0;1
11;EDUCACAO;5125;10.0;0
12;Investimento;3000;10.0;0
13;Investimento;3000;10.0;0
14;PESSOAL;12000;10.0;0
15;Quitar outras dividas;3000;10.0;0
16;Investimento;9000;10.0;0
17;MEDICO;3600;10.0;1
18;EDUCACAO;11000;10.0;0
19;MEDICO;5000;10.0;1
20;Investimento;3825;10.0;0
21;PESSOAL;5000;10.0;0
22;MEDICO;4000;10.0;0
23;EDUCACAO;7675;10.0;0
24;EDUCACAO;4000;10.0;0
25;MEDICO;10400;10.0;0
26;MEDICO;4800;10.0;0
27;Reforma da Casa;3250;10.0;0
28;Investimento;5000;10.0;0
29;PESSOAL;9000;10.0;0
30;PESSOAL;8875;10.0;1
31;EDUCACAO;5000;10.0;0
32;PESSOAL;5400;10.0;0
33;Investimento;9750;10.0;0
34;EDUCACAO;6000;10.0;1
35;Reforma da Casa;18225;10.0;0
36;EDUCACAO;20000;10.0;0
37;EDUCACAO;6000;10.0;0
38;EDUCACAO;6000;10.0;0
39;Quitar outras dividas;5000;10.0;0
40;Reforma da Casa;8000;10.0;0
41;Quitar outras dividas;14400;10.0;0
42;MEDICO;6000;10.0;0
43;EDUCACAO;6000;10.0;0
44;Reforma da Casa;6075;10.0;0
45;EDUCACAO;7000;10.0;0
46;Reforma da Casa;15000;10.0;0
47;Quitar outras dividas;5000;10.0;0
48;Quitar outras dividas;12000;10.0;0
49;Quitar outras dividas;3000;10.0;0
50;Quitar outras dividas;7000;10.0;0
51;EDUCACAO;10000;10.0;0
52;PESSOAL;6000;10.0;0
53;Investimento;7600;10.0;0
54;PESSOAL;7000;10.0;0
55;MEDICO;8000;10.0;0
56;PESSOAL;8000;10.0;0
57;PESSOAL;12000;10.0;0
58;EDUCACAO;8000;10.0;0
59;EDUCACAO;8000;10.0;0
60;MEDICO;5100;10.0;0
61;Investimento;8000;10.0;0
62;Reforma da Casa;8000;10.0;0
63;EDUCACAO;9000;10.0;0
64;EDUCACAO;7750;10.0;0
65;Quitar outras dividas;6000;10.0;1
66;EDUCACAO;8050;10.0;0
67;Investimento;4000;10.0;0
68;PESSOAL;10800;10.0;0
69;PESSOAL;9600;10.0;0
70;Quitar outras dividas;10000;10.0;1
71;Investimento;10000;10.0;0
72;MEDICO;10000;10.0;0
176;MEDICO;12000;10.0;0
177;Reforma da Casa;11000;10.0;0
178;MEDICO;3500;10.0;0
179;PESSOAL;8900;10.0;0
180;MEDICO;15000;10.0;0
181;Quitar outras dividas;18000;10.0;0
182;EDUCACAO;7000;10.0;1
183;MEDICO;18000;10.0;0
184;MEDICO;18050;10.0;0
185;PESSOAL;17000;10.0;0
186;EDUCACAO;2400;10.0;0
187;EDUCACAO;3000;10.0;0
188;PESSOAL;3600;10.0;0
189;Investimento;4000;10.0;1
190;MEDICO;4000;10.0;0
191;Reforma da Casa;5000;10.0;0
192;Reforma da Casa;5000;10.0;0
193;MEDICO;1800;10.0;1
194;Quitar outras dividas;6000;10.0;0
195;Quitar outras dividas;7200;10.0;0
196;EDUCACAO;5000;10.0;0
197;Quitar outras dividas;9000;10.0;0
198;Quitar outras dividas;10000;10.0;1
199;MEDICO;9600;10.0;1
200;Investimento;15000;10.0;0
201;Quitar outras dividas;7500;10.0;0
202;Investimento;6000;10.0;0
203;Investimento;4000;10.0;0
204;Reforma da Casa;17000;10.0;0
205;PESSOAL;20000;10.0;1
206;PESSOAL;1000;10.0;0
207;Investimento;20000;10.0;1
208;EDUCACAO;3000;10.01;0
209;Reforma da Casa;7500;10.01;0
210;PESSOAL;7500;10.01;0
211;Reforma da Casa;2000;10.01;0
212;Reforma da Casa;6000;10.01;0
213;EDUCACAO;7500;10.01;1
214;MEDICO;3000;10.01;0
215;Investimento;25000;10.08;0
216;Reforma da Casa;20000;10.08;1
217;MEDICO;2500;10.08;0
218;Quitar outras dividas;7500;10.08;1
219;PESSOAL;9250;10.08;0
220;MEDICO;25000;10.08;0
221;EDUCACAO;4000;10.08;1
222;MEDICO;4000;10.08;0
223;PESSOAL;4000;10.08;0
224;Investimento;5200;10.08;0
225;EDUCACAO;5000;10.08;0
226;EDUCACAO;6000;10.08;0
227;PESSOAL;7500;10.08;1
228;EDUCACAO;4000;10.08;0
229;Investimento;5000;10.08;0
230;Quitar outras dividas;6400;10.08;0
231;Reforma da Casa;8000;10.08;0
232;PESSOAL;7500;10.08;0
233;EDUCACAO;7500;10.08;1
234;MEDICO;1000;10.08;0
235;PESSOAL;25000;10.08;0
236;Investimento;1600;10.08;0
237;PESSOAL;7500;10.08;0
238;MEDICO;6400;10.08;0
239;EDUCACAO;5000;10.08;0
240;EDUCACAO;7500;10.08;1
241;Reforma da Casa;18000;10.08;0
242;Quitar outras dividas;3000;10.08;1
243;Quitar outras dividas;5000;10.08;0
244;EDUCACAO;25000;10.08;0
245;EDUCACAO;7200;10.08;0
246;Investimento;7500;10.08;0
247;Reforma da Casa;9600;10.08;0
248;MEDICO;9000;10.08;0
249;PESSOAL;10000;10.08;0
250;EDUCACAO;10000;10.08;0
251;Quitar outras dividas;7500;10.08;1
252;MEDICO;2600;10.08;0
253;Quitar outras dividas;25000;10.08;0
254;Investimento;7000;10.08;0
255;PESSOAL;12000;10.08;0
256;Investimento;25000;10.08;0
257;Investimento;25000;10.08;0
258;Investimento;7500;10.08;0
259;Reforma da Casa;20000;10.08;0
260;Investimento;6000;10.08;0
261;Investimento;5000;10.08;0
262;Reforma da Casa;25000;10.08;0
263;Investimento;1200;10.14;0
264;MEDICO;3000;10.14;0
265;PESSOAL;4000;10.14;0
266;EDUCACAO;13025;10.14;0
267;Quitar outras dividas;18900;10.14;0
268;EDUCACAO;3000;10.14;0
269;Quitar outras dividas;15000;10.14;0
270;Quitar outras dividas;14000;10.14;1
271;Reforma da Casa;8000;10.14;0
272;Reforma da Casa;15000;10.14;0
273;Reforma da Casa;15000;10.2;0
274;PESSOAL;3200;10.2;0
275;PESSOAL;5000;10.2;0
276;MEDICO;8500;10.2;0
277;MEDICO;6000;10.2;0
278;Reforma da Casa;5000;10.2;0
279;EDUCACAO;10000;10.2;0
280;Quitar outras dividas;12000;10.2;1
281;EDUCACAO;15000;10.2;1
282;MEDICO;3200;10.2;0
283;MEDICO;1800;10.2;0
284;Investimento;5500;10.2;0
285;PESSOAL;7200;10.2;0
286;EDUCACAO;10200;10.2;0
287;MEDICO;3000;10.2;0
288;Reforma da Casa;5000;10.2;0
289;PESSOAL;25000;10.25;1
290;EDUCACAO;25000;10.25;1
291;Investimento;10000;10.25;0
292;Investimento;25000;10.25;0
293;MEDICO;24000;10.25;0
294;Quitar outras dividas;22000;10.25;1
295;MEDICO;21250;10.25;1
296;EDUCACAO;20400;10.25;0
297;PESSOAL;20000;10.25;1
298;Quitar outras dividas;20000;10.25;1
299;Quitar outras dividas;20000;10.25;0
300;MEDICO;1000;10.25;1
301;Investimento;18250;10.25;1
302;MEDICO;18250;10.25;1
303;EDUCACAO;18000;10.25;0
304;PESSOAL;17000;10.25;1
305;Reforma da Casa;1000;10.25;1
306;Investimento;1500;10.25;0
307;Reforma da Casa;6250;10.25;0
308;Quitar outras dividas;2000;10.25;1
309;EDUCACAO;13000;10.25;1
310;MEDICO;3000;10.25;0
311;Investimento;12000;10.25;0
312;MEDICO;3000;10.25;0
313;PESSOAL;3000;10.25;0
314;PESSOAL;3200;10.25;0
315;Investimento;3500;10.25;0
316;PESSOAL;15000;10.25;0
317;PESSOAL;4000;10.25;1
318;Investimento;4000;10.25;1
319;EDUCACAO;4000;10.25;0
320;PESSOAL;8000;10.25;0
321;Investimento;5600;10.25;0
322;Quitar outras dividas;4750;10.25;1
323;Reforma da Casa;9800;10.25;0
324;Quitar outras dividas;5000;10.25;0
325;EDUCACAO;5200;10.25;0
326;Quitar outras dividas;5000;10.25;0
327;Quitar outras dividas;5000;10.25;0
328;Investimento;10400;10.25;0
329;Reforma da Casa;5000;10.25;0
330;Quitar outras dividas;5000;10.25;0
331;EDUCACAO;23500;10.25;0
332;EDUCACAO;24250;10.25;0
333;EDUCACAO;15000;10.25;0
334;Investimento;6000;10.25;0
335;PESSOAL;6000;10.25;0
336;Quitar outras dividas;6000;10.25;0
337;EDUCACAO;6000;10.25;0
338;EDUCACAO;15000;10.25;0
339;PESSOAL;6000;10.25;0
340;Quitar outras dividas;6500;10.25;0
341;PESSOAL;16000;10.25;0
342;EDUCACAO;3500;10.25;1
343;EDUCACAO;7000;10.25;0
344;PESSOAL;10000;10.25;0
345;EDUCACAO;8000;10.25;1
346;Quitar outras dividas;7500;10.25;0
347;PESSOAL;7500;10.25;0
348;MEDICO;15000;10.25;0
349;Investimento;6000;10.25;0
350;Investimento;8000;10.25;0
351;EDUCACAO;8000;10.25;0
352;EDUCACAO;8000;10.25;0
353;PESSOAL;7500;10.25;0
354;EDUCACAO;17800;10.25;0
355;EDUCACAO;18000;10.25;1
356;MEDICO;8550;10.25;1
357;Investimento;18000;10.25;0
358;EDUCACAO;9600;10.25;0
359;Quitar outras dividas;13000;10.25;0
360;PESSOAL;20000;10.25;0
361;EDUCACAO;5500;10.25;0
362;Investimento;10000;10.25;0
363;EDUCACAO;10000;10.25;0
364;EDUCACAO;10000;10.25;0
365;Quitar outras dividas;14000;10.25;0
366;EDUCACAO;16000;10.25;0
367;PESSOAL;15000;10.25;0
368;EDUCACAO;16000;10.25;0
369;MEDICO;10000;10.25;0
370;PESSOAL;1200;10.25;0
371;Quitar outras dividas;3200;10.25;1
372;Investimento;4750;10.25;0
373;Quitar outras dividas;12000;10.25;1
374;EDUCACAO;25000;10.25;0
375;PESSOAL;15000;10.25;0
376;PESSOAL;17000;10.25;0
377;MEDICO;3000;10.25;0
378;Quitar outras dividas;3000;10.25;0
379;PESSOAL;25000;10.25;0
380;MEDICO;9000;10.25;0
381;Investimento;18000;10.25;0
382;Reforma da Casa;25000;10.25;0
383;MEDICO;2800;10.25;0
384;MEDICO;10000;10.25;0
385;PESSOAL;12500;10.25;0
386;EDUCACAO;12500;10.25;0
387;Investimento;18000;10.25;0
388;MEDICO;14000;10.25;0
389;EDUCACAO;8000;10.25;0
390;Quitar outras dividas;14000;10.25;0
391;Investimento;20000;10.25;0
392;Quitar outras dividas;12000;10.25;0
393;Quitar outras dividas;15000;10.25;0
394;Investimento;15000;10.25;0
395;PESSOAL;25000;10.25;1
396;PESSOAL;15000;10.25;1
397;EDUCACAO;15000;10.25;1
398;Quitar outras dividas;12000;10.25;0
399;Investimento;15000;10.25;0
400;PESSOAL;14400;10.25;0
401;Quitar outras dividas;25000;10.25;0
402;Quitar outras dividas;25000;10.25;0
403;EDUCACAO;15000;10.25;0
404;Reforma da Casa;20000;10.25;1
405;Quitar outras dividas;25000;10.25;0
406;Reforma da Casa;20000;10.25;1
407;PESSOAL;1000;10.25;1
408;PESSOAL;15000;10.25;0
409;PESSOAL;15000;10.25;0
410;Investimento;15000;10.25;0
411;Investimento;15000;10.25;1
412;Investimento;17000;10.25;0
413;Quitar outras dividas;25000;10.25;1
414;PESSOAL;15000;10.25;1
415;PESSOAL;10000;10.25;0
416;PESSOAL;3000;10.25;0
417;EDUCACAO;8000;10.25;0
418;MEDICO;10000;10.25;0
419;EDUCACAO;5000;10.25;0
420;MEDICO;1500;10.25;0
421;MEDICO;25000;10.25;1
422;Reforma da Casa;25000;10.25;1
423;Quitar outras dividas;18000;10.25;0
424;Quitar outras dividas;6000;10.25;0
425;MEDICO;16200;10.25;1
426;MEDICO;1000;10.25;0
427;Quitar outras dividas;1600;10.25;0
428;Investimento;2400;10.25;0
429;MEDICO;3000;10.25;0
430;PESSOAL;12000;10.25;0
431;Investimento;3000;10.25;0
432;PESSOAL;6000;10.25;0
433;Quitar outras dividas;10750;10.25;1
434;MEDICO;4000;10.25;0
435;Investimento;4000;10.25;0
436;Investimento;4500;10.25;0
437;MEDICO;5000;10.25;0
438;Investimento;5000;10.25;0
439;MEDICO;5000;10.25;1
440;MEDICO;4750;10.25;0
441;MEDICO;6000;10.25;0
442;Quitar outras dividas;7300;10.25;0
443;PESSOAL;7500;10.25;0
444;EDUCACAO;15000;10.25;0
445;Reforma da Casa;7500;10.25;0
446;PESSOAL;8000;10.25;1
447;Investimento;8000;10.25;0
448;PESSOAL;3500;10.25;0
449;PESSOAL;15000;10.25;0
450;PESSOAL;5000;10.25;0
451;EDUCACAO;8000;10.25;0
452;EDUCACAO;24000;10.25;0
453;Quitar outras dividas;9000;10.25;0
454;EDUCACAO;20000;10.25;0
455;PESSOAL;9600;10.25;1
456;MEDICO;10000;10.25;0
457;MEDICO;10000;10.25;1
458;EDUCACAO;10000;10.25;1
459;MEDICO;6100;10.25;0
460;MEDICO;10000;10.25;0
461;Quitar outras dividas;10000;10.25;1
462;MEDICO;22000;10.25;0
463;EDUCACAO;10000;10.25;0
464;Quitar outras dividas;4000;10.25;0
465;Reforma da Casa;10000;10.25;0
466;MEDICO;10000;10.25;0
467;EDUCACAO;22000;10.25;0
468;Investimento;12000;10.25;0
469;MEDICO;3000;10.25;0
470;EDUCACAO;12500;10.25;1
471;MEDICO;5500;10.25;0
472;Reforma da Casa;24000;10.25;1
473;EDUCACAO;1600;10.25;0
474;MEDICO;13000;10.25;0
475;Investimento;13000;10.25;0
476;Reforma da Casa;14000;10.25;0
477;Reforma da Casa;6000;10.25;0
478;Quitar outras dividas;24000;10.25;0
479;Quitar outras dividas;17000;10.25;0
480;Reforma da Casa;13000;10.25;0
481;MEDICO;23800;10.25;0
482;MEDICO;9000;10.25;0
483;Quitar outras dividas;1600;10.25;0
484;Investimento;15000;10.25;0
485;EDUCACAO;15000;10.25;0
486;Quitar outras dividas;11200;10.25;0
487;EDUCACAO;15200;10.25;0
488;Reforma da Casa;25000;10.25;0
489;MEDICO;12000;10.25;0
490;Reforma da Casa;3000;10.25;1
491;PESSOAL;6000;10.25;0
492;PESSOAL;5000;10.25;0
493;EDUCACAO;18000;10.25;0
494;Quitar outras dividas;20000;10.25;0
495;EDUCACAO;25000;10.25;1
496;Investimento;10000;10.25;0
497;PESSOAL;20000;10.25;1
498;MEDICO;10000;10.25;0
499;Investimento;6000;10.25;0
500;Reforma da Casa;9000;10.25;0
501;Quitar outras dividas;10000;10.25;0
502;EDUCACAO;20000;10.25;0
503;EDUCACAO;12000;10.25;0
